"id"         ,"mark"         ,"model"             ,"fuel"             ,"gearbox" ,"mileage"  ,"year" ,"type"      ,"drive"       ,"hp"  ,"color"   ,"motorsize" ,"first_in_traffic" ,"region"         ,"price"
"1400654333" ,"Volkswagen"    ,"CC"                 ,"Diesel"              ,"Automat"   ,"16 998"  ,"2011"     ,"Coupé"       ,"Fyrhjulsdriven" ,"170" ,"Svart"  ,"1968"         ,"2011-04-08"     ,"Örebro"         ,99000
"1400599972" ,"Hyundai"       ,"i40"                ,"Diesel"              ,"Manuell"   ,"18 386"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"136" ,"Silver" ,"1685"         ,"2012-10-15"     ,"Östergötland"   ,75000
"1400525689" ,"BMW"           ,"320"                ,"Diesel"              ,"Automat"   ,"5 700"   ,"2018"     ,"Halvkombi"   ,"Fyrhjulsdriven" ,"191" ,"Svart"  ,"1995"         ,"2018-05-30"     ,"Skåne"          ,269000
"1400653910" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Manuell"   ,"17 042"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"105" ,"Vit"    ,"1197"         ,"2013-12-13"     ,"Jämtland"       ,110000
"1400627647" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Manuell"   ,"27 340"  ,"2009"     ,"Kombi"       ,"Tvåhjulsdriven" ,"185" ,"Svart"  ,"2400"         ,"2008-09-24"     ,"Värmland"       ,79900
"1400574879" ,"Kia"           ,"CEED"               ,"Bensin"              ,"Automat"   ,"6 086"   ,"2015"     ,"Kombi"       ,"Tvåhjulsdriven" ,"135" ,"Grå"    ,"1591"         ,"2014-09-29"     ,"Stockholm"      ,135000
"1400653914" ,"MINI"          ,"Cooper"             ,"Bensin"              ,"Manuell"   ,"17 211"  ,"2005"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"170" ,"Blå"    ,"1598"         ,"2005-08-05"     ,"Skaraborg"      ,59000
"1400653943" ,"BMW"           ,"320"                ,"Bensin"              ,"Manuell"   ,"25 965"  ,"2001"     ,"Kombi"       ,"Tvåhjulsdriven" ,"170" ,"Gul"    ,"2171"         ,"2001-06-25"     ,"Älvsborg"       ,27000
"1400653732" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Automat"   ,"26 314"  ,"2009"     ,"Kombi"       ,"Tvåhjulsdriven" ,"164" ,"Blå"    ,"2400"         ,"2008-05-28"     ,"Göteborg"       ,75000
"1400627436" ,"BMW"           ,"120"                ,"Diesel"              ,"Automat"   ,"25 263"  ,"2009"     ,"Coupé"       ,"Tvåhjulsdriven" ,"177" ,"Svart"  ,"1995"         ,"2009-03-21"     ,"Jönköping"      ,225000
