"Id"         ,"Märke"         ,"Modell"             ,"Bränsle"             ,"Växellåda" ,"Miltal"  ,"Modellår" ,"Biltyp"      ,"Drivning"       ,"HK"  ,"Färg"   ,"Motorstorlek" ,"Datum i trafik" ,"Region"         ,"Pris"
"1400552293" ,"BMW"           ,"540"                ,"Diesel"              ,"Automat"   ,"15 920"  ,"2019"     ,"Kombi"       ,"Fyrhjulsdriven" ,"320" ,"Grå"    ,"2993"         ,"2018-10-11"     ,"Östergötland"   ,400000
"1400633739" ,"Volvo"         ,"V70"                ,"Bensin"              ,"Manuell"   ,"25 000"  ,"2006"     ,"Kombi"       ,"Tvåhjulsdriven" ,"141" ,"Röd"    ,"2435"         ,"2005-10-03"     ,"Halland"        ,54900
"1400633476" ,"Suzuki"        ,"SX4"                ,"Bensin"              ,"Manuell"   ,"14 987"  ,"2006"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"108" ,"Orange" ,"1586"         ,"2006-12-27"     ,"Västerbotten"   ,50000
"1400632221" ,"Toyota"        ,"C-HR"               ,"Miljöbränsle/Hybrid" ,"Automat"   ,"10 200"  ,"2019"     ,"SUV"         ,"Tvåhjulsdriven" ,"123" ,"Vit"    ,"1798"         ,"2019-06-10"     ,"Göteborg"       ,206500
"1400633367" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Automat"   ,"24 211"  ,"2014"     ,"Kombi"       ,"Fyrhjulsdriven" ,"181" ,"Svart"  ,"2400"         ,"2014-02-10"     ,"Norrbotten"     ,119000
"1400633656" ,"Volvo"         ,"V60"                ,"Diesel"              ,"Automat"   ,"10 480"  ,"2019"     ,"Kombi"       ,"Tvåhjulsdriven" ,"191" ,"Silver" ,"1969"         ,"2018-06-29"     ,"Jönköping"      ,234000
"1400633559" ,"Seat"          ,"Cupra"              ,"Bensin"              ,"Automat"   ,"13 700"  ,"2015"     ,"Kombi"       ,NA               ,NA    ,NA       ,NA             ,NA               ,"Skåne"          ,208900
"1400633631" ,"BMW"           ,"520"                ,"Diesel"              ,"Automat"   ,"15 821"  ,"2016"     ,"Sedan"       ,"Tvåhjulsdriven" ,"191" ,"Vit"    ,"1995"         ,"2016-05-25"     ,"Skåne"          ,190000
"1400633582" ,"BMW"           ,"116"                ,"Bensin"              ,"Manuell"   ,"18 500"  ,"2011"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"123" ,"Vit"    ,"1995"         ,"2011-06-23"     ,"Södermanland"   ,60000
"1400633202" ,"BMW"           ,"X3"                 ,"Diesel"              ,"Automat"   ,"21 194"  ,"2011"     ,"SUV"         ,"Fyrhjulsdriven" ,"184" ,"Svart"  ,"1995"         ,"2011-05-20"     ,"Dalarna"        ,110000
"1400633626" ,"Volkswagen"    ,"Golf"               ,"Diesel"              ,"Automat"   ,"10 818"  ,"2012"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"105" ,"Svart"  ,"1598"         ,"2011-12-29"     ,"Göteborg"       ,105000
"1400633630" ,"Mercedes-Benz" ,"E"                  ,"Diesel"              ,"Automat"   ,"14 689"  ,"2012"     ,"Sedan"       ,"Tvåhjulsdriven" ,"170" ,"Vit"    ,"2143"         ,"2012-01-31"     ,"Östergötland"   ,156000
"1400633190" ,"Seat"          ,"Ateca"              ,"Bensin"              ,"Manuell"   ,"16 990"  ,"2018"     ,"SUV"         ,"Fyrhjulsdriven" ,"150" ,"Vit"    ,"1395"         ,"2018-08-16"     ,"Västerbotten"   ,145000
"1400633562" ,"Mazda"         ,"CX-5"               ,"Diesel"              ,"Automat"   ,"26 850"  ,"2015"     ,"SUV"         ,"Fyrhjulsdriven" ,"176" ,"Röd"    ,"2191"         ,"2015-06-01"     ,"Göteborg"       ,125000
"1400633397" ,"Kia"           ,"CEED"               ,"Diesel"              ,"Manuell"   ,"13 711"  ,"2016"     ,"Kombi"       ,"Tvåhjulsdriven" ,"136" ,"Grå"    ,"1582"         ,"2016-10-14"     ,"Göteborg"       ,139900
"1400633490" ,"Toyota"        ,"C-HR"               ,"Miljöbränsle/Hybrid" ,"Automat"   ,"860"     ,"2023"     ,"SUV"         ,"Tvåhjulsdriven" ,"123" ,"Vit"    ,"1798"         ,"2023-03-17"     ,"Stockholm"      ,312000
